name,surface,aces,winner,total_pts
Marin Cilic,Hard,8.0,True,166.0
Fernando Verdasco,Hard,15.0,False,158.0
Fernando Verdasco,Hard,5.0,False,85.0
Novak Djokovic,Hard,2.0,True,115.0
Fernando Verdasco,Hard,9.0,False,117.0
Fernando Verdasco,Hard,16.0,False,95.0
Novak Djokovic,Hard,11.0,True,119.0
Fernando Verdasco,Hard,11.0,False,156.0
Fernando Verdasco,Hard,15.0,False,168.0
Fernando Verdasco,Hard,10.0,False,57.0
Tomas Berdych,Hard,11.0,True,88.0
Fernando Verdasco,Hard,14.0,False,157.0
Nikolay Davydenko,Hard,6.0,True,171.0
Fernando Verdasco,Hard,21.0,False,192.0
Rafael Nadal,Hard,12.0,True,193.0
Fernando Verdasco,Hard,15.0,False,103.0
Janko Tipsarevic,Hard,8.0,True,118.0
Fernando Verdasco,Hard,7.0,False,101.0
Andy Murray,Hard,4.0,True,117.0
Fernando Verdasco,Hard,9.0,False,149.0
Fernando Verdasco,Hard,2.0,False,104.0
Fernando Verdasco,Hard,0.0,False,42.0
Fernando Verdasco,Clay,9.0,False,149.0
Fernando Verdasco,Clay,3.0,False,89.0
Novak Djokovic,Clay,3.0,True,106.0
Fernando Verdasco,Clay,3.0,False,110.0
Kei Nishikori,Clay,4.0,True,111.0
Fernando Verdasco,Clay,7.0,False,154.0
Kei Nishikori,Clay,4.0,True,151.0
Fernando Verdasco,Clay,14.0,False,165.0
Fernando Verdasco,Clay,1.0,False,115.0
Andy Murray,Clay,4.0,True,135.0
Fernando Verdasco,Clay,10.0,False,187.0
Janko Tipsarevic,Clay,9.0,True,194.0
Fernando Verdasco,Clay,12.0,False,135.0
Andreas Seppi,Clay,8.0,True,144.0
Fernando Verdasco,Clay,3.0,False,84.0
Fernando Verdasco,Clay,2.0,False,76.0
Nicolas Almagro,Clay,6.0,True,108.0
Fernando Verdasco,Clay,4.0,False,62.0
Nikolay Davydenko,Clay,4.0,True,96.0
Fernando Verdasco,Clay,1.0,False,51.0
Rafael Nadal,Clay,1.0,True,88.0
Fernando Verdasco,Clay,3.0,False,106.0
Novak Djokovic,Clay,9.0,True,123.0
Fernando Verdasco,Clay,2.0,False,123.0
Fernando Verdasco,Clay,9.0,False,128.0
Fernando Verdasco,Clay,1.0,False,64.0
Fernando Verdasco,Hard,10.0,False,151.0
Fernando Verdasco,Hard,10.0,False,94.0
Juan Martin Del Potro,Hard,12.0,True,115.0
Fernando Verdasco,Hard,8.0,False,93.0
Feliciano Lopez,Hard,11.0,True,108.0
Fernando Verdasco,Hard,9.0,False,94.0
Stan Wawrinka,Hard,7.0,True,108.0
Fernando Verdasco,Hard,15.0,False,117.0
Milos Raonic,Hard,16.0,True,137.0
Fernando Verdasco,Hard,7.0,False,153.0
Fernando Verdasco,Hard,4.0,False,144.0
Fernando Verdasco,Hard,6.0,False,75.0
Roger Federer,Hard,7.0,True,102.0
Fernando Verdasco,Hard,4.0,False,76.0
Jo Wilfried Tsonga,Hard,11.0,True,96.0
Fernando Verdasco,Hard,6.0,False,75.0
Rafael Nadal,Hard,4.0,True,102.0
Fernando Verdasco,Hard,5.0,False,122.0
Novak Djokovic,Hard,9.0,True,138.0
Fernando Verdasco,Hard,4.0,False,65.0
Fernando Verdasco,Hard,3.0,False,88.0
Tomas Berdych,Hard,10.0,True,112.0
Fernando Verdasco,Hard,8.0,False,148.0
Andy Roddick,Hard,14.0,True,163.0
Fernando Verdasco,Hard,8.0,False,87.0
Jarkko Nieminen,Hard,1.0,True,106.0
Fernando Verdasco,Hard,8.0,False,93.0
Fernando Verdasco,Hard,7.0,False,65.0
Fernando Verdasco,Grass,18.0,False,124.0
Fernando Verdasco,Grass,22.0,False,144.0
Fernando Verdasco,Grass,28.0,False,153.0
Fernando Verdasco,Grass,6.0,False,82.0
Stan Wawrinka,Grass,14.0,True,102.0
Fernando Verdasco,Grass,14.0,False,102.0
Fernando Verdasco,Grass,11.0,False,132.0
Andy Murray,Grass,14.0,True,151.0
Fernando Verdasco,Grass,21.0,False,145.0
Xavier Malisse,Grass,8.0,True,151.0
Fernando Verdasco,Grass,12.0,False,122.0
Fernando Verdasco,Grass,9.0,False,132.0
Fabio Fognini,Grass,5.0,True,149.0
Fernando Verdasco,Grass,7.0,False,130.0
Ivo Karlovic,Grass,36.0,True,147.0
Fernando Verdasco,Grass,10.0,False,178.0
Fernando Verdasco,Grass,13.0,False,91.0
Andy Roddick,Grass,12.0,True,100.0
Fernando Verdasco,Grass,7.0,False,147.0
Radek Stepanek,Grass,21.0,True,167.0
Fernando Verdasco,Grass,13.0,False,100.0
Fernando Verdasco,Grass,8.0,False,122.0
Fernando Verdasco,Grass,7.0,False,168.0
Jarkko Nieminen,Grass,10.0,True,182.0
Mikhail Youzhny,Hard,9.0,False,94.0
Feliciano Lopez,Hard,13.0,True,94.0
Tomas Berdych,Clay,10.0,True,132.0
Gael Monfils,Clay,10.0,True,161.0
Gilles Simon,Clay,4.0,True,126.0
Juan Carlos Ferrero,Clay,0.0,True,100.0
Fernando Gonzalez,Clay,10.0,True,96.0
Nicolas Almagro,Hard,13.0,True,125.0
Fabio Fognini,Hard,5.0,True,98.0
